name,heating_en
B_4,electricite
B_8,electricite
B_9,electricite
B_10,electricite
B_11,electricite
B_12,electricite
B_13,electricite
B_14,electricite
B_16,electricite
B_17,electricite
B_18,electricite
B_20,electricite
B_21,electricite
B_24,electricite
B_25,electricite
B_26,electricite
B_27,electricite
B_31,electricite
B_32,electricite
B_33,electricite
B_35,electricite
B_45,electricite
B_46,electricite
B_47,electricite
B_48,electricite
B_49,electricite
B_50,electricite
B_51,electricite
B_52,electricite
B_53,electricite
B_55,electricite
B_56,electricite
B_57,electricite
B_58,electricite
B_59,electricite
B_60,electricite
B_62,electricite
B_65,electricite
B_67,electricite
B_69,electricite
B_70,electricite
B_74,electricite
B_75,electricite
B_78,electricite
B_79,electricite
B_82,electricite
B_91,electricite
B_92,electricite
B_95,electricite
B_97,electricite
B_104,electricite
B_106,electricite
B_107,electricite
B_108,electricite
B_109,electricite
B_110,electricite
B_111,electricite
B_112,electricite
B_114,electricite
B_115,electricite
B_116,electricite
B_117,electricite
B_120,electricite
B_121,electricite
B_122,electricite
B_124,electricite
B_125,electricite
B_126,electricite
B_127,electricite
B_128,electricite
B_130,electricite
B_132,electricite
B_133,electricite
B_134,electricite
B_135,electricite
B_137,electricite
B_139,electricite
B_141,electricite
B_142,electricite
B_143,electricite
B_144,electricite
B_146,electricite
B_147,electricite
B_148,electricite
B_150,electricite
B_151,electricite
B_152,electricite
B_155,electricite
B_159,electricite
B_160,electricite
B_163,electricite
B_169,electricite
B_170,electricite
B_171,electricite
B_172,electricite
B_173,electricite
B_175,electricite
B_180,electricite
B_181,electricite
B_182,electricite
B_187,electricite
B_188,electricite
B_191,electricite
B_195,electricite
B_198,electricite
B_200,electricite
B_203,electricite
B_204,electricite
B_205,electricite
B_206,electricite
B_207,electricite
B_208,electricite
B_209,electricite
B_210,electricite
B_217,electricite
B_223,electricite
B_224,electricite
B_226,electricite
B_232,electricite
B_234,electricite
B_235,electricite
B_236,electricite
B_238,electricite
B_239,electricite
B_244,electricite
B_245,electricite
B_246,electricite
B_248,electricite
B_250,electricite
B_255,electricite
B_257,electricite
B_258,electricite
B_259,electricite
B_260,electricite
B_261,electricite
B_262,electricite
B_263,electricite
B_265,electricite
B_276,electricite
B_277,electricite
B_278,electricite
B_279,electricite
B_280,electricite
B_282,electricite
B_284,electricite
B_285,electricite
B_288,electricite
B_289,electricite
B_290,electricite
B_292,electricite
B_293,electricite
B_295,electricite
B_296,electricite
B_297,electricite
B_298,electricite
B_300,electricite
B_301,electricite
B_302,electricite
B_303,electricite
B_304,electricite
B_315,electricite
B_318,electricite
B_319,electricite
B_320,electricite
B_328,electricite
B_332,electricite
B_333,electricite
B_335,electricite
B_336,electricite
B_340,electricite
B_341,electricite
B_345,electricite
B_346,electricite
B_347,electricite
B_349,electricite
B_350,electricite
B_353,electricite
B_354,electricite
B_355,electricite
B_357,electricite
B_359,electricite
B_360,electricite
B_363,electricite
B_364,electricite
B_365,electricite
B_366,electricite
B_367,electricite
B_369,electricite
B_372,electricite
B_373,electricite
B_374,electricite
B_375,electricite
B_376,electricite
B_378,electricite
B_381,electricite
B_383,electricite
B_405,electricite
B_406,electricite
B_407,electricite
B_409,electricite
B_412,electricite
B_413,electricite
B_414,electricite
B_415,electricite
B_417,electricite
B_418,electricite
B_419,electricite
B_421,electricite
B_424,electricite
B_425,electricite
B_427,electricite
B_428,electricite
B_431,electricite
B_432,electricite
B_433,electricite
B_434,electricite
B_435,electricite
B_436,electricite
B_442,electricite
B_443,electricite
B_444,electricite
B_446,electricite
B_447,electricite
B_448,electricite
B_449,electricite
B_450,electricite
B_451,electricite
B_452,electricite
B_453,electricite
B_455,electricite
B_456,electricite
B_457,electricite
B_459,electricite
B_460,electricite
B_461,electricite
B_462,electricite
B_466,electricite
B_467,electricite
B_471,electricite
B_472,electricite
B_473,electricite
B_474,electricite
B_476,electricite
B_477,electricite
B_480,electricite
B_481,electricite
B_482,electricite
B_483,electricite
B_484,electricite
B_485,electricite
B_491,electricite
B_492,electricite
B_494,electricite
B_495,electricite
B_496,electricite
B_498,electricite
B_503,electricite
B_506,electricite
B_516,electricite
B_520,electricite
B_521,electricite
B_522,electricite
B_523,electricite
B_524,electricite
B_525,electricite
B_526,electricite
B_527,electricite
B_528,electricite
B_529,electricite
B_532,electricite
B_533,electricite
B_534,electricite
B_535,electricite
B_536,electricite
B_537,electricite
B_539,electricite
B_541,electricite
B_546,electricite
B_552,electricite
B_553,electricite
B_556,electricite
B_557,electricite
B_558,electricite
B_560,electricite
B_563,electricite
B_564,electricite
B_567,electricite
B_569,electricite
B_570,electricite
B_571,electricite
B_572,electricite
B_573,electricite
B_574,electricite
B_575,electricite
B_578,electricite
B_582,electricite
B_583,electricite
B_586,electricite
B_587,electricite
B_588,electricite
B_591,electricite
B_601,electricite
B_602,electricite
